episode,avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,lower_reward,qos_rate,qos_success_rate,total_energy,total_reward,total_success_qos,total_violate_qos,total_violations,upper_q_max,upper_q_mean,upper_q_min,upper_reward,zeta_lower,zeta_upper
1,113484640.00000000,0.08261645,0,0,0,0,0.46850000,0,0,0,-11348866266.31250000,2.81219268,0.73768377,3483.95425892,-22697364223.70312500,2860.00000000,1017.00000000,1017,0,0,0,-11348497957.39062500,1.00000000,1.00000000
2,131435696.00000000,0.06848139,0,0,0,0,0.44000000,0,0,0,-13144003471.00000000,2.61833501,0.72362977,3620.61942005,-26287608605.06250000,2799.00000000,1069.00000000,1069,0,0,0,-13143605134.06250000,1.00000000,1.00000000
3,104406600.00000000,0.05632672,0,0,0,0,0.48050000,0,0,0,-10441046603.12500000,2.89543152,0.74328905,3537.38689423,-20881742345.62500000,2852.00000000,985.00000000,985,0,0,0,-10440695742.50000000,1.00000000,1.00000000
4,130070888.00000000,0.04789460,0,0,0,0,0.48150000,0,0,0,-13007471883.50000000,2.93476033,0.74585491,3005.76497841,-26014589461.25000000,2879.00000000,981.00000000,981,0,0,0,-13007117577.75000000,1.00000000,1.00000000
5,113470400.00000000,0.04105530,0,0,0,0,0.44200000,0,0,0,-11347477699.35156250,2.60467291,0.72258234,3554.94147396,-22694552799.00781250,2787.00000000,1070.00000000,1070,0,0,0,-11347075099.65625000,1.00000000,1.00000000
6,101655512.00000000,0.03561177,0,0,0,0,0.48500000,0,0,0,-10165937091.62500000,2.93016195,0.74555755,2703.40443468,-20331515359.31250000,2895.00000000,988.00000000,988,0,0,0,-10165578267.68750000,1.00000000,1.00000000
7,135228608.00000000,0.03192252,0,0,0,0,0.45600000,0,0,0,-13523262109.75000000,2.72497559,0.73154187,3039.50310421,-27046152890.50000000,2804.00000000,1029.00000000,1029,0,0,0,-13522890780.75000000,1.00000000,1.00000000
8,107783192.00000000,0.02869768,0,0,0,0,0.49150000,0,0,0,-10778689293.87500000,2.98553729,0.74909282,2969.13857841,-21557039070.62500000,2890.00000000,968.00000000,968,0,0,0,-10778349776.75000000,1.00000000,1.00000000
9,108023904.00000000,0.02787550,0,0,0,0,0.46500000,0,0,0,-10802793119.93750000,2.78606486,0.73587352,3119.51254416,-21605214936.18750000,2839.00000000,1019.00000000,1019,0,0,0,-10802421816.25000000,1.00000000,1.00000000
10,124206736.00000000,0.02601184,0,0,0,0,0.47650000,0,0,0,-12421059143.25000000,2.90552759,0.74395263,2930.35328388,-24841762355.00000000,2891.00000000,995.00000000,995,0,0,0,-12420703211.75000000,1.00000000,1.00000000
